TransactionID,ProductID,TransactionDate,Quantity,ActualCost,ModifiedDate
100018,998,2013-07-31 00:00:00,3,0,2013-07-31 00:00:00
100019,514,2013-07-31 00:00:00,3,0,2013-07-31 00:00:00
100021,517,2013-07-31 00:00:00,4,0,2013-07-31 00:00:00
100022,518,2013-07-31 00:00:00,7,0,2013-07-31 00:00:00
100025,522,2013-07-31 00:00:00,4,0,2013-07-31 00:00:00
100027,737,2013-07-31 00:00:00,3,0,2013-07-31 00:00:00
100029,805,2013-07-31 00:00:00,6,0,2013-07-31 00:00:00
100030,806,2013-07-31 00:00:00,12,0,2013-07-31 00:00:00
100031,807,2013-07-31 00:00:00,4,0,2013-07-31 00:00:00
100032,808,2013-07-31 00:00:00,3,0,2013-07-31 00:00:00
100034,811,2013-07-31 00:00:00,4,0,2013-07-31 00:00:00
100035,812,2013-07-31 00:00:00,7,0,2013-07-31 00:00:00
100037,815,2013-07-31 00:00:00,3,0,2013-07-31 00:00:00
100039,818,2013-07-31 00:00:00,4,0,2013-07-31 00:00:00
100040,819,2013-07-31 00:00:00,7,0,2013-07-31 00:00:00
100042,821,2013-07-31 00:00:00,5,0,2013-07-31 00:00:00
100044,823,2013-07-31 00:00:00,3,0,2013-07-31 00:00:00
100046,826,2013-07-31 00:00:00,4,0,2013-07-31 00:00:00
100047,827,2013-07-31 00:00:00,7,0,2013-07-31 00:00:00
100049,829,2013-07-31 00:00:00,5,0,2013-07-31 00:00:00
100059,894,2013-07-31 00:00:00,22,0,2013-07-31 00:00:00
100063,945,2013-07-31 00:00:00,22,0,2013-07-31 00:00:00
100064,947,2013-07-31 00:00:00,5,0,2013-07-31 00:00:00
100065,949,2013-07-31 00:00:00,6,0,2013-07-31 00:00:00
100066,950,2013-07-31 00:00:00,12,0,2013-07-31 00:00:00
100067,951,2013-07-31 00:00:00,4,0,2013-07-31 00:00:00
100068,994,2013-07-31 00:00:00,12,0,2013-07-31 00:00:00
100069,995,2013-07-31 00:00:00,5,0,2013-07-31 00:00:00
100070,996,2013-07-31 00:00:00,5,0,2013-07-31 00:00:00
100071,3,2013-07-31 00:00:00,220,0,2013-07-31 00:00:00
100072,324,2013-07-31 00:00:00,44,0,2013-07-31 00:00:00
100073,327,2013-07-31 00:00:00,22,0,2013-07-31 00:00:00
100074,328,2013-07-31 00:00:00,10,0,2013-07-31 00:00:00
100075,329,2013-07-31 00:00:00,24,0,2013-07-31 00:00:00
100076,330,2013-07-31 00:00:00,10,0,2013-07-31 00:00:00
100077,398,2013-07-31 00:00:00,22,0,2013-07-31 00:00:00
100078,399,2013-07-31 00:00:00,22,0,2013-07-31 00:00:00
100079,400,2013-07-31 00:00:00,14,0,2013-07-31 00:00:00
100080,401,2013-07-31 00:00:00,30,0,2013-07-31 00:00:00
100081,529,2013-07-31 00:00:00,22,0,2013-07-31 00:00:00
100082,532,2013-07-31 00:00:00,88,0,2013-07-31 00:00:00
100083,533,2013-07-31 00:00:00,22,0,2013-07-31 00:00:00
100084,534,2013-07-31 00:00:00,22,0,2013-07-31 00:00:00
100085,802,2013-07-31 00:00:00,6,0,2013-07-31 00:00:00
100086,803,2013-07-31 00:00:00,8,0,2013-07-31 00:00:00
100087,804,2013-07-31 00:00:00,8,0,2013-07-31 00:00:00
100088,316,2013-07-31 00:00:00,44,0,2013-07-31 00:00:00
100089,331,2013-07-31 00:00:00,44,0,2013-07-31 00:00:00
100090,350,2013-07-31 00:00:00,22,0,2013-07-31 00:00:00
100091,531,2013-07-31 00:00:00,22,0,2013-07-31 00:00:00
100092,875,2013-07-31 00:00:00,4,5.8435,2013-07-31 00:00:00
100096,885,2013-07-31 00:00:00,4,742.8934,2013-07-31 00:00:00
100098,889,2013-07-31 00:00:00,5,742.8934,2013-07-31 00:00:00
100100,893,2013-07-31 00:00:00,3,742.8934,2013-07-31 00:00:00
100102,895,2013-07-31 00:00:00,6,246.7308,2013-07-31 00:00:00
100103,896,2013-07-31 00:00:00,4,246.7308,2013-07-31 00:00:00
100108,916,2013-07-31 00:00:00,4,38.9536,2013-07-31 00:00:00
100109,941,2013-07-31 00:00:00,3,59.9326,2013-07-31 00:00:00
100110,945,2013-07-31 00:00:00,4,67.7026,2013-07-31 00:00:00
100111,947,2013-07-31 00:00:00,4,67.7618,2013-07-31 00:00:00
100112,948,2013-07-31 00:00:00,8,78.81,2013-07-31 00:00:00
100113,949,2013-07-31 00:00:00,4,129.8626,2013-07-31 00:00:00
100114,951,2013-07-31 00:00:00,8,299.6926,2013-07-31 00:00:00
100115,952,2013-07-31 00:00:00,4,14.9776,2013-07-31 00:00:00
100116,953,2013-07-31 00:00:00,4,874.692,2013-07-31 00:00:00
